,CIDADE,QUANTIDADE,FORMATO
4300,Westminster,15.0,Cigar
4304,Los Angeles,254.0,Fireball
4305,Ducor,1.0,Triangle
4308,Big Oak Valley,1.0,Circle
4315,Pittsburg,12.0,Cigar
4326,Vista,21.0,Unknown
4328,Tarzana,7.0,Sphere
4339,Burbank,48.0,Changing
4353,Long Beach,94.0,Triangle
4359,Escondido,56.0,Light
4360,Long Beach,94.0,Fireball
4361,Hayward,26.0,Circle
4363,Long Beach,94.0,Fireball
4368,Irvine,55.0,Diamond
4369,La Quinta,6.0,Circle
4370,Redwood City,12.0,Light
4377,Buena Park,14.0,Changing
4392,Atwater,9.0,Other
4399,Canyon Country,7.0,Other
4408,Moreno Valley,26.0,Circle
4410,Monterey,25.0,Sphere
4411,San Diego,277.0,Light
4414,Red Bluff,8.0,Triangle
4415,Westminster,15.0,Unknown
4420,Goleta,16.0,Other
4431,Martinez,15.0,Fireball
4433,Hollister (southeast of),1.0,Sphere
4437,Los Angeles,254.0,Light
4443,Yorba Linda,12.0,Disk
4448,Tiburon,3.0,Disk
4452,Bloomington,4.0,Light
4463,Indio,24.0,Cigar
4466,Mission Viejo,24.0,Light
4468,North Hollywood,21.0,Circle
4475,Arcata,13.0,Light
4481,Lake Barryessa,1.0,Sphere
4482,Whittier,29.0,Circle
4483,Imperial Desert,1.0,Oval
4484,Paramount,8.0,Light
4486,Brawley,6.0,Circle
4490,Red Bluff,8.0,Light
4491,Foresthill,4.0,Circle
4497,Santa Rsoa,1.0,Light
4498,Holtville,1.0,Circle
4501,Venice,19.0,Formation
4503,San Rafael,24.0,Unknown
4509,Petaluma,22.0,Diamond
4513,Bakersfield,63.0,Sphere
4514,Huntington Beach,64.0,Circle
4520,Aliso Viejo,11.0,Circle
4525,San Diego,277.0,Light
4538,Porterville,20.0,Light
4546,Woodland,12.0,Light
4553,Los Angeles,254.0,Light
4554,Manteca,15.0,Disk
4555,Manteca,15.0,Oval
4560,Ventura,47.0,Light
4564,calistoga,1.0,Changing
4566,Pleasanton,16.0,Circle
4567,Susanville,8.0,Light
4580,Ridgecrest,24.0,Fireball
4586,Garden Grove,30.0,Light
4587,Joshua Tree,9.0,Light
4591,San Rafael,24.0,Changing
4596,Joshua Tree Nat'l Park,1.0,
4610,Burbank,48.0,Formation
4633,Novato,11.0,Light
4649,Concord/Walnut Creek,1.0,Unknown
4655,Richmond,12.0,Circle
4667,Newport,1.0,Disk
4669,Visalia,35.0,Light
4680,San Diego,277.0,Light
4682,Studio City,9.0,Disk
4687,San Diego,277.0,Light
4688,San Diego,277.0,Light
4697,Ukiah,14.0,Cigar
4702,Marina Del Rey/Mar Vista,1.0,Circle
4712,California (southern),1.0,
4713,Twenty Nine Palms/Joshua Tree Monument,1.0,Unknown
4714,Twenty Nine Palms,6.0,Other
4715,Nine Palms,1.0,
4720,Camp Pendleton,3.0,Other
4726,Newport Beach,27.0,Disk
4733,Camp Pendleton,3.0,Other
4735,San Diego,277.0,Triangle
4740,Fresno,96.0,Circle
4742,Ukiah,14.0,Circle
4748,San Francisco,125.0,Disk
4760,Sonoma,24.0,Light
4762,Walnut Creek,9.0,Disk
4765,Big Pines,1.0,Diamond
4768,Fairfield,31.0,Other
4771,San Francisco Bay Area,2.0,Light
4772,San Francisco Bay Area,2.0,Light
4777,Los Angeles,254.0,Rectangle
4778,Mount Shasta,8.0,Oval
4780,Los Angeles,254.0,Circle
4781,Yuba City,10.0,Unknown
4787,Los Angeles/Long Beach,1.0,Fireball
4791,Newport Beach,27.0,Other
4792,Newport Beach,27.0,Disk
4795,Avila Beach,2.0,Diamond
4803,Oakland,49.0,Disk
4804,Temecula,48.0,Rectangle
4812,Carlsbad,39.0,Unknown
4816,Quincy,7.0,Cylinder
4820,Folsom,17.0,Unknown
4831,Ukiah,14.0,Rectangle
4837,Murrieta/Temecula,1.0,Light
4845,Norco,4.0,Light
4859,Los Angeles,254.0,Light
4874,Newbury Park,6.0,Light
4881,Grass Valley,19.0,Flash
4899,Cudahy,1.0,Light
4902,Burbank,48.0,Light
4917,Bellflower,4.0,Formation
4922,San Francisco,125.0,Other
4928,Paramount,8.0,Light
4930,Paramount,8.0,Disk
4933,Eureka,19.0,Triangle
4944,Felton,5.0,Circle
4956,Newport Beach,27.0,Unknown
4957,Del Mar,5.0,Sphere
4959,Laguna Beach,16.0,Sphere
4966,Paincines (Pinnacle Rocks in Pinnacles National Monument),3.0,Light
4968,Salinas,24.0,Oval
4969,Paincines (Pinnacle Rocks in Pinnacles National Monument),3.0,Light
4975,Burbank,48.0,Disk
4992,Daly City,10.0,Circle
4994,Oakland,49.0,Fireball
4997,Walnut Creek,9.0,Unknown
5005,Stockton,37.0,Triangle
5008,Los Angeles,254.0,Circle
5009,Burbank,48.0,Cylinder
5014,Oxnard,40.0,Cross
5021,Manteca,15.0,Disk
5024,Riverside,68.0,Circle
5043,Encinitas,16.0,Disk
5060,Los Angeles,254.0,Fireball
5062,Ventura,47.0,Sphere
5072,Sacramento,177.0,Teardrop
5077,Downey,14.0,Fireball
5087,Boulder Creek,5.0,Other
5092,San Diego,277.0,Light
5095,San Bernardino,41.0,Triangle
5102,Antioch,38.0,Fireball
5106,Santa Barbara,54.0,Disk
5121,Simi Valley,34.0,Unknown
5125,San Pedro,21.0,Disk
5132,Cerritos/Buena Park area,1.0,Light
5135,San Martin,2.0,Circle
5150,Newport Beach,27.0,Unknown
5179,San Diego,277.0,Oval
5183,Pasadena,26.0,Other
5184,Goleta,16.0,Light
5193,Windsor,9.0,Formation
5194,Montclair,5.0,Fireball
5196,Windsor,9.0,Circle
5197,Windsor,9.0,Light
5198,Windsor,9.0,Other
5207,Sonora,11.0,Light
5220,Santa Rosa,67.0,Triangle
5224,San Pedro,21.0,Oval
5226,Sacramento,177.0,Cigar
5234,Carmel-by-the-Sea,2.0,Sphere
5237,Irvine,55.0,Disk
5244,Vista,21.0,Chevron
5248,Arroyo Grande,7.0,Light
5271,Chico,31.0,Light
5279,Needles,4.0,Circle
5283,Sacramento,177.0,Fireball
5289,Mission Viejo,24.0,Sphere
5293,Cerritos,8.0,Light
5307,Half-Moon Bay (off shore; cruise ship),1.0,Sphere
5318,San Ramon/Danville,1.0,Disk
5336,Oxnard,40.0,Light
5340,Lancaster/Freemont,1.0,Teardrop
5352,San Francisco,125.0,Light
5354,Long Beach,94.0,Flash
5368,Templeton,4.0,Oval
5370,Point Reyes,1.0,Oval
5383,Foothill Ranch,4.0,Disk
5384,Foothill Ranch,4.0,Disk
5385,Evanston,1.0,Flash
5392,Burbank,48.0,Light
5396,San Diego,277.0,Light
5402,Burbank,48.0,Fireball
5405,Goleta,16.0,Other
5410,Pomona,27.0,Disk
5415,Santa Cruz,35.0,Disk
5423,Los Angeles,254.0,Fireball
5431,Kelseyville,6.0,Cylinder
5435,Whittier,29.0,Light
5438,Redondo Beach,26.0,Disk
5440,Los Angeles,254.0,Circle
5442,Santa Clarita,18.0,Disk
5449,Hollywood,15.0,Cigar
5460,San Juan Bautista,2.0,Circle
5467,San Francisco,125.0,Triangle
5468,Antioch,38.0,Triangle
5478,Modesto,68.0,Sphere
5486,Gardena,4.0,Circle
5489,Pinole,3.0,Flash
5494,Simi Valley,34.0,Light
5495,Palmdale,34.0,Oval
5500,North Highlands,5.0,Light
5501,National City,6.0,Sphere
5506,Visalia,35.0,Sphere
5509,Paso Robles,13.0,Cylinder
5510,San Francisco,125.0,Light
5520,Novato,11.0,Circle
5521,Chico,31.0,Sphere
5523,Livermore,18.0,Circle
5534,Dublin,9.0,Other
5541,Upland,17.0,Fireball
5542,Norco,4.0,Fireball
5553,Hayward,26.0,Cigar
5560,Berkeley,23.0,Chevron
5565,Long Beach,94.0,Other
5575,Carmel Valley,4.0,Oval
5576,San Clemente,24.0,Light
5594,Los Angeles,254.0,Disk
5596,Adelanto,3.0,Unknown
5606,Simi Valley,34.0,Rectangle
5608,San Jose,160.0,Sphere
